agent,opus-4.6_run01,opus-4.6_run02,opus-4.6_run03,opus-4.6_run04,opus-4.6_run05,opus-4.6_run06,opus-4.6_run07,opus-4.6_run08,opus-4.6_run09,opus-4.6_run10,opus-4.6_run11,opus-4.6_run12,opus-4.6_run13,opus-4.6_run14,opus-4.6_run15,opus-4.6_run17,opus-4.6_run18,opus-4.6_run19,opus-4.6_run20,opus-4.6_run22,opus-4.6_run23,opus-4.6_run24,opus-4.6_run25,opus-4.6_run26,opus-4.6_run27,opus-4.6_run28,opus-4.6_run29,opus-4.6_run30,opus-4.6_run31,opus-4.6_run32,opus-4.6_run33,opus-4.6_run34,opus-4.6_run35,opus-4.6_run36,opus-4.6_run37,opus-4.6_run38,opus-4.6_run39,opus-4.6_run40,opus-4.6_run41,opus-4.6_run42,opus-4.6_run43,opus-4.6_run44,opus-4.6_run45,opus-4.6_run46,opus-4.6_run47,opus-4.6_run48,opus-4.6_run49,opus-4.6_run50
opus-4.6_run20,0.13,0.085,0.085,0.185,0.005,0.14,0.115,0.085,0.25,0.195,0.16,0.07,0.085,0.26,0.16,0.095,0.25,0.15,0.0,0.095,0.15,0.085,0.06,0.14,0.105,0.105,0.205,0.005,0.15,0.105,0.005,0.195,0.015,0.25,0.05,0.24,0.195,0.005,0.16,0.16,0.06,0.195,0.115,0.05,0.34,0.16,0.14,0.25
opus-4.6_run22,0.33,0.085,0.185,0.285,0.205,0.14,0.015,0.085,0.15,0.195,0.16,0.03,0.085,0.06,0.06,0.095,0.15,0.05,0.095,0.0,0.15,0.085,0.34,0.14,0.005,0.105,0.305,0.005,0.15,0.005,0.105,0.195,0.015,0.05,0.35,0.24,0.195,0.295,0.16,0.06,0.24,0.195,0.115,0.35,0.04,0.06,0.06,0.05
opus-4.6_run23,0.1,0.05,0.05,0.15,0.05,0.2,0.05,0.05,0.3,0.15,0.0,0.1,0.25,0.0,0.3,0.05,0.3,0.1,0.15,0.15,0.0,0.05,0.0,0.3,0.05,0.05,0.15,0.05,0.1,0.15,0.15,0.25,0.05,0.1,0.2,0.1,0.25,0.15,0.1,0.3,0.1,0.15,0.05,0.2,0.1,0.1,0.2,0.1
opus-4.6_run24,0.19,0.155,0.045,0.255,0.215,0.22,0.255,0.055,0.05,0.185,0.18,0.01,0.155,0.02,0.02,0.185,0.15,0.15,0.085,0.085,0.05,0.0,0.02,0.02,0.115,0.215,0.015,0.015,0.05,0.115,0.015,0.185,0.045,0.15,0.05,0.12,0.285,0.085,0.02,0.18,0.12,0.085,0.045,0.05,0.22,0.08,0.12,0.15
opus-4.6_run25,0.26,0.12,0.22,0.12,0.26,0.08,0.02,0.02,0.0,0.04,0.12,0.16,0.02,0.02,0.08,0.04,0.0,0.1,0.06,0.34,0.0,0.02,0.0,0.08,0.06,0.06,0.16,0.04,0.0,0.14,0.06,0.04,0.12,0.1,0.3,0.08,0.04,0.34,0.12,0.08,0.28,0.14,0.08,0.2,0.02,0.08,0.02,0.0
opus-4.6_run26,0.16,0.12,0.02,0.22,0.06,0.28,0.02,0.02,0.3,0.14,0.02,0.04,0.22,0.02,0.12,0.04,0.2,0.1,0.14,0.14,0.3,0.02,0.08,0.0,0.06,0.04,0.06,0.06,0.0,0.04,0.06,0.34,0.02,0.1,0.2,0.02,0.24,0.14,0.22,0.12,0.18,0.04,0.12,0.2,0.18,0.22,0.18,0.2
opus-4.6_run27,0.03,0.215,0.115,0.015,0.095,0.06,0.015,0.115,0.15,0.005,0.24,0.23,0.015,0.04,0.24,0.005,0.15,0.05,0.105,0.005,0.05,0.115,0.06,0.06,0.0,0.295,0.005,0.005,0.15,0.195,0.195,0.005,0.185,0.15,0.15,0.16,0.105,0.095,0.34,0.14,0.04,0.005,0.085,0.15,0.26,0.04,0.16,0.15
opus-4.6_run28,0.07,0.215,0.115,0.115,0.195,0.16,0.015,0.215,0.05,0.105,0.24,0.13,0.015,0.04,0.14,0.005,0.05,0.05,0.105,0.105,0.05,0.215,0.06,0.04,0.295,0.0,0.195,0.205,0.25,0.195,0.095,0.105,0.085,0.25,0.05,0.26,0.105,0.005,0.24,0.14,0.06,0.205,0.085,0.15,0.26,0.14,0.16,0.05
opus-4.6_run29,0.17,0.015,0.215,0.115,0.095,0.16,0.085,0.215,0.25,0.205,0.24,0.07,0.215,0.04,0.14,0.105,0.15,0.05,0.205,0.305,0.15,0.015,0.16,0.06,0.005,0.195,0.0,0.205,0.15,0.095,0.195,0.205,0.115,0.15,0.15,0.26,0.105,0.105,0.14,0.14,0.16,0.405,0.185,0.15,0.06,0.14,0.06,0.05
opus-4.6_run30,0.03,0.015,0.185,0.015,0.105,0.14,0.115,0.185,0.05,0.005,0.04,0.03,0.085,0.06,0.06,0.005,0.05,0.05,0.005,0.005,0.05,0.015,0.04,0.06,0.005,0.205,0.205,0.0,0.05,0.105,0.105,0.095,0.185,0.05,0.15,0.04,0.005,0.095,0.06,0.16,0.04,0.295,0.115,0.05,0.04,0.06,0.04,0.15
opus-4.6_run31,0.0,0.25,0.15,0.15,0.05,0.1,0.15,0.25,0.0,0.15,0.1,0.2,0.05,0.0,0.3,0.05,0.1,0.0,0.15,0.15,0.1,0.05,0.0,0.0,0.15,0.25,0.15,0.05,0.0,0.15,0.15,0.05,0.25,0.2,0.0,0.4,0.05,0.05,0.2,0.1,0.0,0.05,0.15,0.2,0.1,0.1,0.1,0.1
opus-4.6_run32,0.13,0.085,0.085,0.015,0.095,0.06,0.085,0.115,0.05,0.205,0.14,0.23,0.115,0.04,0.24,0.005,0.25,0.05,0.105,0.005,0.15,0.115,0.14,0.04,0.195,0.195,0.095,0.105,0.15,0.0,0.195,0.105,0.085,0.15,0.05,0.16,0.105,0.195,0.14,0.34,0.14,0.005,0.185,0.15,0.06,0.14,0.16,0.05
opus-4.6_run33,0.03,0.015,0.215,0.015,0.095,0.06,0.015,0.315,0.05,0.205,0.14,0.03,0.215,0.16,0.24,0.105,0.15,0.05,0.005,0.105,0.15,0.015,0.06,0.06,0.195,0.095,0.195,0.105,0.15,0.195,0.0,0.105,0.085,0.05,0.25,0.16,0.005,0.095,0.24,0.24,0.06,0.105,0.285,0.25,0.04,0.04,0.06,0.05
opus-4.6_run34,0.23,0.015,0.015,0.285,0.205,0.44,0.085,0.085,0.35,0.295,0.06,0.03,0.285,0.06,0.06,0.095,0.25,0.15,0.195,0.195,0.25,0.185,0.04,0.34,0.005,0.105,0.205,0.095,0.05,0.105,0.105,0.0,0.085,0.15,0.15,0.04,0.295,0.095,0.16,0.26,0.14,0.195,0.015,0.25,0.24,0.26,0.14,0.05
opus-4.6_run35,0.09,0.145,0.055,0.045,0.015,0.12,0.045,0.045,0.15,0.015,0.02,0.19,0.155,0.08,0.22,0.085,0.05,0.05,0.015,0.015,0.05,0.045,0.12,0.02,0.185,0.085,0.115,0.185,0.25,0.085,0.085,0.085,0.0,0.05,0.05,0.18,0.015,0.085,0.12,0.02,0.12,0.185,0.055,0.15,0.08,0.02,0.02,0.05
opus-4.6_run36,0.0,0.15,0.05,0.05,0.15,0.2,0.05,0.05,0.2,0.25,0.1,0.1,0.05,0.0,0.2,0.05,0.2,0.0,0.25,0.05,0.1,0.15,0.1,0.1,0.15,0.25,0.15,0.05,0.2,0.15,0.05,0.15,0.05,0.0,0.1,0.2,0.05,0.05,0.1,0.1,0.0,0.15,0.05,0.0,0.3,0.3,0.3,0.1
opus-4.6_run37,0.2,0.05,0.15,0.15,0.15,0.1,0.05,0.05,0.1,0.15,0.2,0.0,0.15,0.0,0.1,0.15,0.2,0.0,0.05,0.35,0.2,0.05,0.3,0.2,0.15,0.05,0.15,0.15,0.0,0.05,0.25,0.15,0.05,0.1,0.0,0.1,0.15,0.15,0.2,0.1,0.2,0.05,0.15,0.3,0.0,0.0,0.0,0.1
opus-4.6_run38,0.06,0.22,0.12,0.22,0.16,0.02,0.08,0.22,0.0,0.24,0.22,0.14,0.02,0.12,0.22,0.04,0.2,0.1,0.24,0.24,0.1,0.12,0.08,0.02,0.16,0.26,0.26,0.04,0.4,0.16,0.16,0.04,0.18,0.2,0.1,0.0,0.14,0.04,0.22,0.12,0.02,0.14,0.18,0.2,0.18,0.12,0.08,0.1
opus-4.6_run39,0.23,0.085,0.015,0.385,0.105,0.24,0.185,0.015,0.15,0.195,0.16,0.07,0.285,0.06,0.06,0.195,0.35,0.35,0.195,0.195,0.25,0.285,0.04,0.24,0.105,0.105,0.105,0.005,0.05,0.105,0.005,0.295,0.015,0.05,0.15,0.14,0.0,0.095,0.16,0.26,0.04,0.095,0.085,0.15,0.24,0.16,0.04,0.25
opus-4.6_run40,0.33,0.185,0.185,0.185,0.205,0.14,0.015,0.015,0.15,0.005,0.04,0.13,0.015,0.06,0.04,0.005,0.05,0.05,0.005,0.295,0.15,0.085,0.34,0.14,0.095,0.005,0.105,0.095,0.05,0.195,0.095,0.095,0.085,0.05,0.15,0.04,0.095,0.0,0.04,0.04,0.34,0.195,0.015,0.15,0.04,0.04,0.04,0.05
opus-4.6_run41,0.04,0.18,0.18,0.18,0.14,0.12,0.02,0.18,0.0,0.16,0.18,0.16,0.08,0.08,0.18,0.06,0.2,0.1,0.16,0.16,0.1,0.02,0.12,0.22,0.34,0.24,0.14,0.06,0.2,0.14,0.24,0.16,0.12,0.1,0.2,0.22,0.16,0.04,0.0,0.18,0.02,0.06,0.02,0.3,0.22,0.18,0.12,0.1
opus-4.6_run42,0.04,0.02,0.08,0.18,0.14,0.22,0.08,0.18,0.2,0.26,0.08,0.06,0.28,0.02,0.18,0.06,0.3,0.1,0.16,0.06,0.3,0.18,0.08,0.12,0.14,0.14,0.14,0.16,0.1,0.34,0.24,0.26,0.02,0.1,0.1,0.12,0.26,0.04,0.18,0.0,0.02,0.16,0.12,0.2,0.12,0.08,0.22,0.0
opus-4.6_run43,0.26,0.22,0.22,0.12,0.16,0.18,0.12,0.12,0.2,0.04,0.12,0.16,0.12,0.08,0.08,0.14,0.1,0.1,0.06,0.24,0.1,0.12,0.28,0.18,0.04,0.06,0.16,0.04,0.0,0.14,0.06,0.14,0.12,0.0,0.2,0.02,0.04,0.34,0.02,0.02,0.0,0.24,0.02,0.1,0.02,0.02,0.18,0.1
opus-4.6_run44,0.23,0.085,0.285,0.085,0.105,0.24,0.015,0.185,0.25,0.095,0.16,0.13,0.185,0.06,0.06,0.095,0.05,0.05,0.195,0.195,0.15,0.085,0.14,0.04,0.005,0.205,0.405,0.295,0.05,0.005,0.105,0.195,0.185,0.15,0.05,0.14,0.095,0.195,0.06,0.16,0.24,0.0,0.115,0.05,0.14,0.06,0.14,0.05
opus-4.6_run45,0.01,0.055,0.145,0.055,0.085,0.02,0.155,0.245,0.05,0.115,0.12,0.01,0.045,0.02,0.22,0.015,0.05,0.15,0.115,0.115,0.05,0.045,0.08,0.12,0.085,0.085,0.185,0.115,0.15,0.185,0.285,0.015,0.055,0.05,0.15,0.18,0.085,0.015,0.02,0.12,0.02,0.115,0.0,0.15,0.02,0.08,0.02,0.05
opus-4.6_run46,0.2,0.05,0.15,0.25,0.25,0.2,0.05,0.15,0.1,0.25,0.0,0.1,0.05,0.0,0.2,0.05,0.2,0.0,0.05,0.35,0.2,0.05,0.2,0.2,0.15,0.15,0.15,0.05,0.2,0.15,0.25,0.25,0.15,0.0,0.3,0.2,0.15,0.15,0.3,0.2,0.1,0.05,0.15,0.0,0.1,0.1,0.0,0.1
opus-4.6_run47,0.16,0.22,0.02,0.22,0.16,0.28,0.02,0.02,0.1,0.14,0.12,0.14,0.02,0.22,0.12,0.04,0.2,0.2,0.34,0.04,0.1,0.22,0.02,0.18,0.26,0.26,0.06,0.04,0.1,0.06,0.04,0.24,0.08,0.3,0.0,0.18,0.24,0.04,0.22,0.12,0.02,0.14,0.02,0.1,0.0,0.22,0.18,0.2
opus-4.6_run48,0.04,0.08,0.12,0.18,0.14,0.22,0.02,0.02,0.2,0.26,0.08,0.16,0.08,0.08,0.08,0.16,0.2,0.2,0.16,0.06,0.1,0.08,0.08,0.22,0.04,0.14,0.14,0.06,0.1,0.14,0.04,0.26,0.02,0.3,0.0,0.12,0.16,0.04,0.18,0.08,0.02,0.06,0.08,0.1,0.22,0.0,0.12,0.1
opus-4.6_run49,0.04,0.22,0.02,0.02,0.16,0.18,0.02,0.12,0.2,0.14,0.12,0.04,0.12,0.02,0.12,0.06,0.1,0.1,0.14,0.06,0.2,0.12,0.02,0.18,0.16,0.16,0.06,0.04,0.1,0.16,0.06,0.14,0.02,0.3,0.0,0.08,0.04,0.04,0.12,0.22,0.18,0.14,0.02,0.0,0.18,0.12,0.0,0.1
opus-4.6_run50,0.1,0.25,0.05,0.15,0.15,0.0,0.05,0.05,0.1,0.05,0.3,0.1,0.15,0.1,0.1,0.25,0.1,0.2,0.25,0.05,0.1,0.15,0.0,0.2,0.15,0.05,0.05,0.15,0.1,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.25,0.05,0.1,0.0,0.1,0.05,0.05,0.1,0.2,0.1,0.1,0.0
